Parish and Constituency,Total Children,% affectation expected HUR (34kt),Affected Children,Child poverty rates (%),Severe poverty rate (%),Moderate poverty rate (%),CHIN,CHIN (Severe),CHIN (Moderate)
Total,845815.0,,297544.0,6.446366289387092,5.530884450493232,26.78289711157863,19648.0,15137.0,74712.0
Clarendon,83314.0,34.27363865684979,28555.0,7.459164871070689,6.770647450226447,29.639969138798573,2184.0,1897.0,8448.0
Hanover,23921.0,67.52483240528662,16153.0,7.269198069033165,3.81412628036034,21.218440816171054,1107.0,549.0,3209.0
Kingston,25544.0,22.000000000000004,5620.0,2.5241413996161226,2.5241413996161226,27.21601444089418,142.0,142.0,1530.0
Manchester,57745.0,29.29182680291046,16915.0,4.657377150912088,4.3528778344898855,23.160235149815335,903.0,799.0,4132.0
Portland,25172.0,23.477564358527182,5910.0,7.746694887955559,7.589720276140444,31.210412958561975,451.0,441.0,1826.0
Saint Andrew,160342.0,22.035957560947665,35333.0,6.98921895364292,6.961251953399563,34.36372739595213,2484.0,2474.0,12165.0
Saint Ann,56286.0,47.4111943410559,26686.0,6.167371119872368,5.2307429118338895,24.701958092757767,1551.0,1258.0,6194.0
Saint Catherine,166938.0,25.155577481033376,41994.0,4.9476490020555115,4.606162825556007,22.403987161959122,2107.0,1929.0,9473.0
Saint Elizabeth,47222.0,45.8768006357372,21664.0,8.405400200122887,6.919342042420112,28.935266765055317,1966.0,1549.0,6305.0
Saint James,60225.0,67.86558992265968,40872.0,6.3844382691780135,2.6655560348272864,17.248360475413733,2531.0,952.0,6592.0
Saint Mary,36459.0,35.57625052936223,12971.0,7.867366267928615,7.345838837452271,29.234584094528937,946.0,857.0,3511.0
Saint Thomas,29478.0,28.894525763047753,8518.0,8.101812724217151,8.002510054426734,32.36617880056474,654.0,642.0,2656.0
Trelawny,24619.0,47.576325617835266,11713.0,7.096631764770919,4.326002880589493,24.486992289960664,844.0,489.0,2803.0
Westmoreland,48558.0,50.75410752065186,24645.0,7.273398068844283,4.919818981686099,24.50695114600851,1782.0,1163.0,5873.0
