,zone_id,E_school_age_population,E_infant_population,E_built_surface_m2,E_population,E_num_schools,E_num_hcs,E_smod_class,E_rwi,probability,name
0,JAM_0001_V2,1296.2757077937324,440.3970873822668,413075.07843137253,6009.892816343729,0.6274509803921569,0.0196078431372549,0.39022079420003297,0.0021081726808370406,0.03484923381117153,Clarendon
1,JAM_0002_V2,2620.4768716780577,1012.2664329758023,903019.0392156863,12645.649804844576,2.1764705882352944,0.8431372549019608,1.6834313725490195,0.029875686274509806,0.13529411764705881,Hanover
2,JAM_0003_V2,468.60737228159815,157.222207663106,183799.568627451,2362.8084345798866,0.09803921568627451,0.058823529411764705,0.30202205882352945,0.0001632352941176472,0.027328431372549023,Manchester
3,JAM_0004_V2,145.53212205744256,45.72248256060423,47834.60784313725,736.4614189372343,0.1764705882352941,0.0392156862745098,0.06874211672973282,0.0015813553491572068,0.0050452929709895655,Portland
4,JAM_0005_V2,77.99954107228447,24.42429573278801,11428.980392156862,420.86985569374235,0.0196078431372549,0.0,0.02108370229812355,0.00041661395741092135,0.002108370229812355,Saint Andrew
5,JAM_0006_V2,2231.003047168255,783.2189212911853,971599.0980392157,11021.928111394245,0.7058823529411765,0.47058823529411764,0.37413554633471646,0.007751444146123179,0.0298592466032056,Saint Ann
6,JAM_0007_V2,1976.9033201348548,695.8404011340702,570445.6862745098,10118.600529782912,2.1176470588235294,0.9607843137254902,0.24154764786573066,0.0033786815137577665,0.018397482449770033,Saint Catherine
7,JAM_0008_V2,1967.899063503041,681.8634122949021,1138873.7450980393,9955.55014486874,1.7450980392156863,1.4509803921568627,0.6387567793074678,0.004955360867751356,0.05306633291614518,Saint Elizabeth
8,JAM_0009_V2,9121.913611888885,3397.7378337944256,3388887.156862745,45597.280901890175,5.509803921568627,7.8235294117647065,1.8485658726300438,0.05660298168854319,0.12186031437368336,Saint James
9,JAM_0010_V2,779.5708993010077,277.79265390920875,240469.01960784313,3866.824061973422,0.1764705882352941,0.058823529411764705,0.20935143288084465,0.003835444947209653,0.014781297134238312,Saint Mary
10,JAM_0011_V2,114.87183159589767,38.7193277206491,37055.74509803922,555.2402823018093,0.0784313725490196,0.0196078431372549,0.05268056589724498,0.0003343261355174981,0.004467609828741623,Saint Thomas
11,JAM_0012_V2,2146.060804652233,773.5192689989127,973890.5294117647,10411.427865869859,0.9019607843137255,0.29411764705882354,0.8707612456747404,0.015575778546712805,0.0715109573241061,Trelawny
12,JAM_0013_V2,3019.0155892979865,1187.3458386986863,1087014.0784313725,14793.099413853066,2.0392156862745097,2.235294117647059,0.9934241989478719,0.013305236728837877,0.0816594930655189,Westmoreland
13,JAM_0014_V2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kingston
